"Title","Release.Year","Locations","Fun.Facts","Production.Company","Distributor","Director","Writer","Actor.1","Actor.2","Actor.3","lon","lat"
"GirlBoss",2017,"Filbert between Grant and Kearny","","Hippolyta Productions, LLC","Netflix","Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi","Kay Cannon","Britt Robertson","Ellie Reed","Amanda Rea",-122.4238833,37.7995352
"Looking Season 2 ep 202",2015,"1400 16th Street","","Mission Street Productions, LLC","HBO","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie Alvarez","Murray Bartlett",-122.4013308,37.7668643
"Chance- Season 1 ep110",2016,"Cliffhouse, 1090 Point Lobos Ave.","","TVM Productions","HULU","Alexandra Cunningham and Kem Nunn","Michael Lehmann","Hugh Laurie","Gretchen Mol","Ethan Suplee",-122.5139808,37.778507
"Looking Season 2 ep 210",2015,"Vega Coffee, 1245 Folsom Street","","Mission Street Productions, LLC","HBO","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie Alvarez","Murray Bartlett",-122.4110331,37.7746094
"Chance - Season 1 Pilot",2016,"UN Plaza/ Civic Center Bart steps","","TVM Productions","HULU","Lenny Abrahamson","Alexandra Cunningham and Kem Nunn","Hugh Laurie","Gretchen Mol","Ethan Suplee",-122.4137147,37.7795744
"Looking Season 2 ep 207",2015,"Valenti, Marini, Perata, 4840 Mission Street","","Mission Street Productions, LLC","HBO","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie Alvarez","Murray Bartlett",-122.4382032,37.7204481
"Murder in the First, Season 2",2015,"Embarcadero Street at Washington Street","","Turner North Center Productions","Turner Network Television (TNT)","Steven Bochcho","Eric Lodal","Taye Diggs","Kathleen Robertson","Ian Anthony Dale",-122.3952567,37.7967356
"Budding Prospects, Pilot",2017,"2007 Franklin Street","","Picrow Streaming Inc.","Amazon ","Terry Zwigoff","Melissa Axelrod, T. C. Boyle (based on the book by)","Adam Rose","Will Sasso","Joel David Moore",-122.424981,37.7932989
"Murder in the First, Season 1",2014,"Joice Street at Clay Street","","Turner North Center Productions","Turner Network Television (TNT)","Steven Bochcho","Eric Lodal","Taye Diggs","Kathleen Robertson","Ian Anthony Dale",-122.4087104,37.7939713
"Birth of the Dragon",2016,"Spofford between Clay and Washington","","BOTD U.S. Productions, Inc.","Kylin Pictures","George Nolfi ","Christopher Wilkinson, Stephen J. Rivele","Philip Ng","Billy Magnussen","Yu Xia",-122.4074789,37.7948492
"Looking Season 2 ep 207",2015,"Sparky's Diner, 242 Church Street","","Mission Street Productions, LLC","HBO","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie Alvarez","Murray Bartlett",-122.4290866,37.7666948
